zpid,street,city,state,zip,lat,lon,use,lotsize,size,bathr,bedr,price
10599939,1238 Callowhill St STE 205,Philadelphia,PA,19123,39.959135,-75.159589,Condo,1315,1315,1,1,425000
67362587,1010 N 3rd St,Philadelphia,PA,19123,39.966886,-75.142398,Townhouse,1800,2752,NA,NA,650000
2143003824,953 N 6th St,Philadelphia,PA,19123,39.968536,-75.14664,Townhouse,NA,2600,3,5,495000
67363779,136-138 Vine St 138,PHILADELPHIA ,PA,19106,39.95536,-75.141803,Single Family,1928,3266,4,3,795000
2129162447,1125 E Columbia Ave UNIT 103,Philadelphia,PA,19125,39.96984,-75.13015,Single Family,NA,NA,NA,NA,3.00E+05
10599781,244-248 N 3rd St  3C,Philadelphia,PA,19106,39.955396,-75.144772,Condo,1400,1400,2,2,5.00E+05
10597670,800 N Lawrence St APT E,Philadelphia,PA,19123,39.964145,-75.145403,Condo,1025,1025,1.5,2,265000
87766888,1121 E Palmer St,Philadelphia,PA,19125,39.970386,-75.127883,Townhouse,1656,2400,3,4,459000
67364928,201-259 N 8th St 505,PHILADELPHIA ,PA,19106,39.955487,-75.152388,Condo,NA,976,1,1,4.00E+05
71246533,722 N 2nd St APT 202,Philadelphia,PA,19123,39.962554,-75.141359,Condo,NA,1600,2.5,2,550000
67362591,911 N Lawrence St,Philadelphia,PA,19123,39.966411,-75.144675,Single Family,810,1744,2,3,547237
10257791,215 E Allen St,Philadelphia,PA,19125,39.966655,-75.131652,Townhouse,1367,1300,1,2,5.00E+05
10601035,301 Race St APT 309,Philadelphia,PA,19106,39.954139,-75.14473,Condo,715,715,1,1,350000
10257106,1119 E Montgomery Ave,Philadelphia,PA,19125,39.970786,-75.126594,Townhouse,1005,1739,1.5,3,310000
10601074,301 Race St APT 510,Philadelphia,PA,19106,39.954009,-75.144217,Condo,530,530,1,NA,225000
2146683732,206-08 Brown St 1,Philadelphia,PA,19123,39.962985,-75.141487,Condo,NA,750,1,NA,249000
10256195,1122 Shackamaxon St,Philadelphia,PA,19125,39.968347,-75.133701,Single Family,2343,1170,1.5,3,425000
60321113,960 N Lawrence St,Philadelphia,PA,19123,39.967614,-75.144828,Single Family,2000,2499,2.5,3,529000
2146913808,1237 North 6th Street,Philadelphia,PA,19122,39.97129,-75.14632,Single Family,NA,3142,2.5,4,725000
10199030,990 N Randolph St,Philadelphia,PA,19123,39.969245,-75.146262,Single Family,1341,1287,1,3,4.00E+05
10259301,172 W Master St,Philadelphia,PA,19122,39.972188,-75.138076,Single Family,908,1482,2,3,250000
10198057,154 Brown St,Philadelphia,PA,19123,39.962644,-75.140239,Single Family,670,1296,1,2,3.00E+05
87766593,1212 Mount Vernon St,Philadelphia,PA,19123,39.963464,-75.157847,Townhouse,1306,3400,4.5,5,649000
10599939,1238 Callowhill St STE 205,Philadelphia,PA,19123,39.959135,-75.159589,Condo,1315,1315,1,1,425000
67362587,1010 N 3rd St,Philadelphia,PA,19123,39.966886,-75.142398,Townhouse,1800,2752,NA,NA,650000
2143003824,953 N 6th St,Philadelphia,PA,19123,39.968536,-75.14664,Townhouse,NA,2600,3,5,495000
67363779,136-138 Vine St 138,PHILADELPHIA ,PA,19106,39.95536,-75.141803,Single Family,1928,3266,4,3,795000
2129162447,1125 E Columbia Ave UNIT 103,Philadelphia,PA,19125,39.96984,-75.13015,Single Family,NA,NA,NA,NA,3.00E+05
10599781,244-248 N 3rd St  3C,Philadelphia,PA,19106,39.955396,-75.144772,Condo,1400,1400,2,2,5.00E+05
10597670,800 N Lawrence St APT E,Philadelphia,PA,19123,39.964145,-75.145403,Condo,1025,1025,1.5,2,265000
87766888,1121 E Palmer St,Philadelphia,PA,19125,39.970386,-75.127883,Townhouse,1656,2400,3,4,459000
67364928,201-259 N 8th St 505,PHILADELPHIA ,PA,19106,39.955487,-75.152388,Condo,NA,976,1,1,4.00E+05
71246533,722 N 2nd St APT 202,Philadelphia,PA,19123,39.962554,-75.141359,Condo,NA,1600,2.5,2,550000
67362591,911 N Lawrence St,Philadelphia,PA,19123,39.966411,-75.144675,Single Family,810,1744,2,3,547237
10257791,215 E Allen St,Philadelphia,PA,19125,39.966655,-75.131652,Townhouse,1367,1300,1,2,5.00E+05
10601035,301 Race St APT 309,Philadelphia,PA,19106,39.954139,-75.14473,Condo,715,715,1,1,350000
10257106,1119 E Montgomery Ave,Philadelphia,PA,19125,39.970786,-75.126594,Townhouse,1005,1739,1.5,3,310000
10601074,301 Race St APT 510,Philadelphia,PA,19106,39.954009,-75.144217,Condo,530,530,1,NA,225000
2146683732,206-08 Brown St 1,Philadelphia,PA,19123,39.962985,-75.141487,Condo,NA,750,1,NA,249000
10256195,1122 Shackamaxon St,Philadelphia,PA,19125,39.968347,-75.133701,Single Family,2343,1170,1.5,3,425000
60321113,960 N Lawrence St,Philadelphia,PA,19123,39.967614,-75.144828,Single Family,2000,2499,2.5,3,529000
2146913808,1237 North 6th Street,Philadelphia,PA,19122,39.97129,-75.14632,Single Family,NA,3142,2.5,4,725000
10199030,990 N Randolph St,Philadelphia,PA,19123,39.969245,-75.146262,Single Family,1341,1287,1,3,4.00E+05
10259301,172 W Master St,Philadelphia,PA,19122,39.972188,-75.138076,Single Family,908,1482,2,3,250000
10198057,154 Brown St,Philadelphia,PA,19123,39.962644,-75.140239,Single Family,670,1296,1,2,3.00E+05
87766593,1212 Mount Vernon St,Philadelphia,PA,19123,39.963464,-75.157847,Townhouse,1306,3400,4.5,5,649000
10599939,1238 Callowhill St STE 205,Philadelphia,PA,19123,39.959135,-75.159589,Condo,1315,1315,1,1,425000
67362587,1010 N 3rd St,Philadelphia,PA,19123,39.966886,-75.142398,Townhouse,1800,2752,NA,NA,650000
2143003824,953 N 6th St,Philadelphia,PA,19123,39.968536,-75.14664,Townhouse,NA,2600,3,5,495000
67363779,136-138 Vine St 138,PHILADELPHIA ,PA,19106,39.95536,-75.141803,Single Family,1928,3266,4,3,795000
2129162447,1125 E Columbia Ave UNIT 103,Philadelphia,PA,19125,39.96984,-75.13015,Single Family,NA,NA,NA,NA,3.00E+05
10599781,244-248 N 3rd St  3C,Philadelphia,PA,19106,39.955396,-75.144772,Condo,1400,1400,2,2,5.00E+05
10597670,800 N Lawrence St APT E,Philadelphia,PA,19123,39.964145,-75.145403,Condo,1025,1025,1.5,2,265000
87766888,1121 E Palmer St,Philadelphia,PA,19125,39.970386,-75.127883,Townhouse,1656,2400,3,4,459000
67364928,201-259 N 8th St 505,PHILADELPHIA ,PA,19106,39.955487,-75.152388,Condo,NA,976,1,1,4.00E+05
71246533,722 N 2nd St APT 202,Philadelphia,PA,19123,39.962554,-75.141359,Condo,NA,1600,2.5,2,550000
67362591,911 N Lawrence St,Philadelphia,PA,19123,39.966411,-75.144675,Single Family,810,1744,2,3,547237
10257791,215 E Allen St,Philadelphia,PA,19125,39.966655,-75.131652,Townhouse,1367,1300,1,2,5.00E+05
10601035,301 Race St APT 309,Philadelphia,PA,19106,39.954139,-75.14473,Condo,715,715,1,1,350000
10257106,1119 E Montgomery Ave,Philadelphia,PA,19125,39.970786,-75.126594,Townhouse,1005,1739,1.5,3,310000
10601074,301 Race St APT 510,Philadelphia,PA,19106,39.954009,-75.144217,Condo,530,530,1,NA,225000
2146683732,206-08 Brown St 1,Philadelphia,PA,19123,39.962985,-75.141487,Condo,NA,750,1,NA,249000
10256195,1122 Shackamaxon St,Philadelphia,PA,19125,39.968347,-75.133701,Single Family,2343,1170,1.5,3,425000
60321113,960 N Lawrence St,Philadelphia,PA,19123,39.967614,-75.144828,Single Family,2000,2499,2.5,3,529000
2146913808,1237 North 6th Street,Philadelphia,PA,19122,39.97129,-75.14632,Single Family,NA,3142,2.5,4,725000
10199030,990 N Randolph St,Philadelphia,PA,19123,39.969245,-75.146262,Single Family,1341,1287,1,3,4.00E+05
10259301,172 W Master St,Philadelphia,PA,19122,39.972188,-75.138076,Single Family,908,1482,2,3,250000
10198057,154 Brown St,Philadelphia,PA,19123,39.962644,-75.140239,Single Family,670,1296,1,2,3.00E+05
87766593,1212 Mount Vernon St,Philadelphia,PA,19123,39.963464,-75.157847,Townhouse,1306,3400,4.5,5,649000
2123902204,725 Pemberton Street REAR 4,Philadelphia,PA,19147,39.940995,-75.155079,Single Family,NA,900,1,2,275000
67362587,1010 N 3rd St,Philadelphia,PA,19123,39.966886,-75.142398,Townhouse,1800,2752,NA,NA,650000
10182459,621 S American St REAR E,Philadelphia,PA,19147,39.940707,-75.146579,Condo,228,519,1,2,250000
67365027,50 N Front St APT 404,Philadelphia,PA,19106,39.951265,-75.141979,Condo,NA,492,1,NA,235000
67365018,50 N Front St APT 301,Philadelphia,PA,19106,39.951439,-75.141789,Condo,NA,868,1,1,380000
67363779,136-138 Vine St 138,PHILADELPHIA ,PA,19106,39.95536,-75.141803,Single Family,1928,3266,4,3,795000
10599781,244-248 N 3rd St  3C,Philadelphia,PA,19106,39.955396,-75.144772,Condo,1400,1400,2,2,5.00E+05
10597670,800 N Lawrence St APT E,Philadelphia,PA,19123,39.964145,-75.145403,Condo,1025,1025,1.5,2,265000
2136529136,122 Chestnut St APT 303,Philadelphia,PA,19106,39.948088,-75.143406,Single Family,NA,NA,NA,NA,330000
67364928,201-259 N 8th St 505,PHILADELPHIA ,PA,19106,39.955487,-75.152388,Condo,NA,976,1,1,4.00E+05
67365022,50 N Front St APT 305,Philadelphia,PA,19106,39.951439,-75.141789,Condo,NA,647,1,1,3.00E+05
71246533,722 N 2nd St APT 202,Philadelphia,PA,19123,39.962554,-75.141359,Condo,NA,1600,2.5,2,550000
80950134,210 Gaskill St,Philadelphia,PA,19147,39.941834,-75.146473,Single Family,994,2886,3.5,4,1500000
67362591,911 N Lawrence St,Philadelphia,PA,19123,39.966411,-75.144675,Single Family,810,1744,2,3,547237
10599561,210 Locust St  10GW,Philadelphia,PA,19106,39.94509,-75.14467,Condo,803,803,1,1,390000
10257791,215 E Allen St,Philadelphia,PA,19125,39.966655,-75.131652,Townhouse,1367,1300,1,2,5.00E+05
10601035,301 Race St APT 309,Philadelphia,PA,19106,39.954139,-75.14473,Condo,715,715,1,1,350000
10601074,301 Race St APT 510,Philadelphia,PA,19106,39.954009,-75.144217,Condo,530,530,1,NA,225000
2146683732,206-08 Brown St 1,Philadelphia,PA,19123,39.962985,-75.141487,Condo,NA,750,1,NA,249000
60321113,960 N Lawrence St,Philadelphia,PA,19123,39.967614,-75.144828,Single Family,2000,2499,2.5,3,529000
2146979009,"613, 615, 617 Pemberton Street",Philadelphia,PA,19147,39.940614,-75.153358,Single Family,2700,2500,2,3,1550000
