"GEOID","NAME","fem_bachelor","fem_doctorate","fem_highschool","fem_noschool","fem_ovr_25","male_bachelor","male_doctorate","male_highschool","male_noschool","male_ovr_25","pop_ovr_25"
"42101000100","Census Tract 1, Philadelphia County, Pennsylvania",988,86,118,0,1802,727,149,123,0,1665,3467
"42101000200","Census Tract 2, Philadelphia County, Pennsylvania",171,20,147,21,942,395,76,161,25,1028,1970
"42101000300","Census Tract 3, Philadelphia County, Pennsylvania",573,88,189,0,1390,509,96,91,0,1344,2734
"42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania",439,43,77,0,1252,505,85,84,0,1184,2436
"42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania",533,69,342,0,1866,480,65,28,0,1211,3077
"42101000500","Census Tract 5, Philadelphia County, Pennsylvania",153,34,179,0,725,226,25,379,0,1254,1979
"42101000600","Census Tract 6, Philadelphia County, Pennsylvania",97,30,11,0,462,116,30,37,0,470,932
"42101000700","Census Tract 7, Philadelphia County, Pennsylvania",541,103,107,0,1361,426,90,59,0,1425,2786
"42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania",155,45,0,0,538,300,88,43,0,786,1324
"42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania",839,90,88,0,1785,581,57,0,0,1304,3089
"42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania",727,73,146,0,1879,489,140,91,0,1756,3635
"42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania",450,7,58,0,868,335,75,86,0,910,1778
"42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania",312,31,94,60,968,380,72,90,72,967,1935
"42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania",505,96,127,0,1363,334,109,49,0,940,2303
"42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania",478,116,137,0,1464,393,143,72,0,1302,2766
"42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania",510,43,122,19,1514,385,48,55,34,1343,2857
"42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania",388,76,38,0,1036,403,69,25,0,1084,2120
"42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania",591,225,111,0,1861,497,306,26,12,1534,3395
"42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania",1012,170,54,0,2105,716,198,42,0,1998,4103
"42101001300","Census Tract 13, Philadelphia County, Pennsylvania",780,184,333,23,2503,844,167,315,43,2393,4896
"42101001400","Census Tract 14, Philadelphia County, Pennsylvania",448,56,216,14,1549,527,83,158,0,1744,3293
"42101001500","Census Tract 15, Philadelphia County, Pennsylvania",461,33,103,0,1265,298,59,79,0,1125,2390
"42101001600","Census Tract 16, Philadelphia County, Pennsylvania",263,43,31,0,829,374,40,34,0,865,1694
"42101001700","Census Tract 17, Philadelphia County, Pennsylvania",399,96,120,8,1251,489,80,71,0,1141,2392
